user_id,subs_id,price_plan_name,transaction_id,transaction_amount,txn_created_timestamp,transaction_timestamp
1,1,premium,1,23.0,2023-08-23T19:18:59.000+01:00,2023-08-23T19:18:59.000+01:00
2,2,sport,2,39.0,2023-03-23T19:18:59.000Z,2023-03-23T19:18:59.000Z
3,3,premium,3,24.0,2023-05-28T19:18:59.000+01:00,2023-05-28T19:18:59.000+01:00
4,4,basic,4,19.0,2023-02-15T19:18:59.000Z,2023-02-15T19:18:59.000Z
5,5,basic,5,25.0,2022-11-25T19:18:59.000Z,2022-11-25T19:18:59.000Z
6,6,basic,6,67.0,2023-05-07T19:18:59.000+01:00,2023-05-07T19:18:59.000+01:00
7,7,basic,7,96.0,2023-07-26T19:18:59.000+01:00,2023-07-26T19:18:59.000+01:00
8,8,sport,8,100.0,2023-02-28T19:18:59.000Z,2023-02-28T19:18:59.000Z
9,9,sport,9,85.0,2022-12-27T19:18:59.000Z,2022-12-27T19:18:59.000Z
10,10,basic,10,20.0,2023-04-27T19:18:59.000+01:00,2023-04-27T19:18:59.000+01:00
11,11,basic,11,90.0,2022-12-14T19:18:59.000Z,2022-12-14T19:18:59.000Z
12,12,sport,12,36.0,2022-12-01T19:18:59.000Z,2022-12-01T19:18:59.000Z
13,13,sport,13,21.0,2023-07-17T19:18:59.000+01:00,2023-07-17T19:18:59.000+01:00
14,14,premium,14,17.0,2023-01-07T19:18:59.000Z,2023-01-07T19:18:59.000Z
15,15,basic,15,13.0,2023-05-29T19:18:59.000+01:00,2023-05-29T19:18:59.000+01:00
16,16,sport,16,44.0,2022-09-19T19:18:59.000+01:00,2022-09-19T19:18:59.000+01:00
17,17,sport,17,62.0,2023-05-08T19:18:59.000+01:00,2023-05-08T19:18:59.000+01:00
18,18,sport,18,68.0,2023-08-04T19:18:59.000+01:00,2023-08-04T19:18:59.000+01:00
19,19,sport,19,68.0,2023-02-22T19:18:59.000Z,2023-02-22T19:18:59.000Z
20,20,basic,20,13.0,2023-08-31T19:18:59.000+01:00,2023-08-31T19:18:59.000+01:00
21,21,sport,21,81.0,2022-10-29T19:18:59.000+01:00,2022-10-29T19:18:59.000+01:00
22,22,basic,22,48.0,2023-03-06T19:18:59.000Z,2023-03-06T19:18:59.000Z
23,23,premium,23,53.0,2022-12-24T19:18:59.000Z,2022-12-24T19:18:59.000Z
24,24,sport,24,74.0,2023-02-27T19:18:59.000Z,2023-02-27T19:18:59.000Z
25,25,sport,25,65.0,2023-03-27T19:18:59.000+01:00,2023-03-27T19:18:59.000+01:00
26,26,premium,26,27.0,2023-02-19T19:18:59.000Z,2023-02-19T19:18:59.000Z
27,27,sport,27,46.0,2023-05-16T19:18:59.000+01:00,2023-05-16T19:18:59.000+01:00
28,28,sport,28,43.0,2023-03-29T19:18:59.000+01:00,2023-03-29T19:18:59.000+01:00
29,29,basic,29,43.0,2023-03-21T19:18:59.000Z,2023-03-21T19:18:59.000Z
30,30,sport,30,30.0,2023-08-19T19:18:59.000+01:00,2023-08-19T19:18:59.000+01:00
31,31,sport,31,68.0,2023-03-04T19:18:59.000Z,2023-03-04T19:18:59.000Z
32,32,basic,32,51.0,2023-07-11T19:18:59.000+01:00,2023-07-11T19:18:59.000+01:00
33,33,premium,33,48.0,2023-07-07T19:18:59.000+01:00,2023-07-07T19:18:59.000+01:00
34,34,basic,34,11.0,2023-02-01T19:18:59.000Z,2023-02-01T19:18:59.000Z
35,35,sport,35,56.0,2023-04-11T19:18:59.000+01:00,2023-04-11T19:18:59.000+01:00
36,36,basic,36,32.0,2023-06-05T19:18:59.000+01:00,2023-06-05T19:18:59.000+01:00
37,37,basic,37,73.0,2023-08-28T19:18:59.000+01:00,2023-08-28T19:18:59.000+01:00
38,38,sport,38,42.0,2022-09-09T19:18:59.000+01:00,2022-09-09T19:18:59.000+01:00
39,39,basic,39,57.0,2022-10-05T19:18:59.000+01:00,2022-10-05T19:18:59.000+01:00
40,40,premium,40,84.0,2023-03-07T19:18:59.000Z,2023-03-07T19:18:59.000Z
41,41,sport,41,84.0,2023-01-29T19:18:59.000Z,2023-01-29T19:18:59.000Z
42,42,basic,42,72.0,2023-07-31T19:18:59.000+01:00,2023-07-31T19:18:59.000+01:00
43,43,basic,43,21.0,2022-09-15T19:18:59.000+01:00,2022-09-15T19:18:59.000+01:00
44,44,sport,44,42.0,2022-11-06T19:18:59.000Z,2022-11-06T19:18:59.000Z
45,45,premium,45,64.0,2022-11-30T19:18:59.000Z,2022-11-30T19:18:59.000Z
46,46,sport,46,56.0,2023-07-02T19:18:59.000+01:00,2023-07-02T19:18:59.000+01:00
47,47,premium,47,39.0,2022-11-27T19:18:59.000Z,2022-11-27T19:18:59.000Z
48,48,basic,48,30.0,2023-08-09T19:18:59.000+01:00,2023-08-09T19:18:59.000+01:00
49,49,basic,49,22.0,2022-11-17T19:18:59.000Z,2022-11-17T19:18:59.000Z
50,50,premium,50,37.0,2023-07-29T19:18:59.000+01:00,2023-07-29T19:18:59.000+01:00
51,51,premium,51,45.0,2023-01-24T19:18:59.000Z,2023-01-24T19:18:59.000Z
52,52,basic,52,95.0,2022-12-13T19:18:59.000Z,2022-12-13T19:18:59.000Z
53,53,basic,53,96.0,2023-07-15T19:18:59.000+01:00,2023-07-15T19:18:59.000+01:00
54,54,premium,54,67.0,2023-03-07T19:18:59.000Z,2023-03-07T19:18:59.000Z
55,55,premium,55,75.0,2023-04-04T19:18:59.000+01:00,2023-04-04T19:18:59.000+01:00
56,56,premium,56,100.0,2023-07-26T19:18:59.000+01:00,2023-07-26T19:18:59.000+01:00
57,57,basic,57,12.0,2022-11-25T19:18:59.000Z,2022-11-25T19:18:59.000Z
58,58,basic,58,85.0,2022-09-30T19:18:59.000+01:00,2022-09-30T19:18:59.000+01:00
59,59,sport,59,98.0,2023-01-06T19:18:59.000Z,2023-01-06T19:18:59.000Z
60,60,premium,60,92.0,2022-10-26T19:18:59.000+01:00,2022-10-26T19:18:59.000+01:00
61,61,basic,61,38.0,2022-12-18T19:18:59.000Z,2022-12-18T19:18:59.000Z
62,62,basic,62,46.0,2023-02-26T19:18:59.000Z,2023-02-26T19:18:59.000Z
63,63,sport,63,93.0,2023-01-25T19:18:59.000Z,2023-01-25T19:18:59.000Z
64,64,basic,64,93.0,2022-12-06T19:18:59.000Z,2022-12-06T19:18:59.000Z
65,65,premium,65,67.0,2022-10-21T19:18:59.000+01:00,2022-10-21T19:18:59.000+01:00
66,66,basic,66,26.0,2023-01-16T19:18:59.000Z,2023-01-16T19:18:59.000Z
67,67,basic,67,10.0,2022-11-28T19:18:59.000Z,2022-11-28T19:18:59.000Z
68,68,basic,68,56.0,2022-09-20T19:18:59.000+01:00,2022-09-20T19:18:59.000+01:00
69,69,sport,69,74.0,2022-10-16T19:18:59.000+01:00,2022-10-16T19:18:59.000+01:00
70,70,premium,70,33.0,2022-09-24T19:18:59.000+01:00,2022-09-24T19:18:59.000+01:00
71,71,premium,71,53.0,2023-07-07T19:18:59.000+01:00,2023-07-07T19:18:59.000+01:00
72,72,sport,72,68.0,2022-10-22T19:18:59.000+01:00,2022-10-22T19:18:59.000+01:00
73,73,basic,73,12.0,2022-10-16T19:18:59.000+01:00,2022-10-16T19:18:59.000+01:00
74,74,basic,74,17.0,2023-08-02T19:18:59.000+01:00,2023-08-02T19:18:59.000+01:00
75,75,basic,75,58.0,2023-01-20T19:18:59.000Z,2023-01-20T19:18:59.000Z
76,76,premium,76,61.0,2022-11-24T19:18:59.000Z,2022-11-24T19:18:59.000Z
77,77,premium,77,51.0,2023-02-22T19:18:59.000Z,2023-02-22T19:18:59.000Z
78,78,premium,78,57.0,2023-03-17T19:18:59.000Z,2023-03-17T19:18:59.000Z
79,79,premium,79,81.0,2023-04-03T19:18:59.000+01:00,2023-04-03T19:18:59.000+01:00
80,80,premium,80,70.0,2022-10-12T19:18:59.000+01:00,2022-10-12T19:18:59.000+01:00
81,81,premium,81,63.0,2023-04-05T19:18:59.000+01:00,2023-04-05T19:18:59.000+01:00
82,82,basic,82,47.0,2023-01-03T19:18:59.000Z,2023-01-03T19:18:59.000Z
83,83,premium,83,26.0,2022-09-14T19:18:59.000+01:00,2022-09-14T19:18:59.000+01:00
84,84,sport,84,17.0,2023-06-20T19:18:59.000+01:00,2023-06-20T19:18:59.000+01:00
85,85,sport,85,67.0,2023-08-26T19:18:59.000+01:00,2023-08-26T19:18:59.000+01:00
86,86,basic,86,94.0,2022-12-28T19:18:59.000Z,2022-12-28T19:18:59.000Z
87,87,basic,87,76.0,2023-05-05T19:18:59.000+01:00,2023-05-05T19:18:59.000+01:00
88,88,sport,88,99.0,2022-09-08T19:18:59.000+01:00,2022-09-08T19:18:59.000+01:00
89,89,sport,89,22.0,2023-02-05T19:18:59.000Z,2023-02-05T19:18:59.000Z
90,90,basic,90,93.0,2022-10-18T19:18:59.000+01:00,2022-10-18T19:18:59.000+01:00
91,91,basic,91,60.0,2022-09-09T19:18:59.000+01:00,2022-09-09T19:18:59.000+01:00
92,92,premium,92,42.0,2022-09-05T19:18:59.000+01:00,2022-09-05T19:18:59.000+01:00
93,93,sport,93,52.0,2023-08-15T19:18:59.000+01:00,2023-08-15T19:18:59.000+01:00
94,94,sport,94,33.0,2023-05-09T19:18:59.000+01:00,2023-05-09T19:18:59.000+01:00
95,95,basic,95,12.0,2023-06-14T19:18:59.000+01:00,2023-06-14T19:18:59.000+01:00
96,96,sport,96,80.0,2022-10-31T19:18:59.000Z,2022-10-31T19:18:59.000Z
97,97,sport,97,16.0,2022-09-14T19:18:59.000+01:00,2022-09-14T19:18:59.000+01:00
98,98,premium,98,48.0,2023-06-03T19:18:59.000+01:00,2023-06-03T19:18:59.000+01:00
99,99,premium,99,22.0,2023-02-06T19:18:59.000Z,2023-02-06T19:18:59.000Z
100,100,sport,100,48.0,2022-11-13T19:18:59.000Z,2022-11-13T19:18:59.000Z
101,101,basic,101,31.0,2023-07-01T19:18:59.000+01:00,2023-07-01T19:18:59.000+01:00
102,102,sport,102,17.0,2022-11-29T19:18:59.000Z,2022-11-29T19:18:59.000Z
103,103,basic,103,35.0,2023-08-05T19:18:59.000+01:00,2023-08-05T19:18:59.000+01:00
104,104,sport,104,76.0,2023-08-28T19:18:59.000+01:00,2023-08-28T19:18:59.000+01:00
105,105,premium,105,82.0,2023-03-09T19:18:59.000Z,2023-03-09T19:18:59.000Z
106,106,basic,106,95.0,2023-08-01T19:18:59.000+01:00,2023-08-01T19:18:59.000+01:00
107,107,basic,107,78.0,2023-05-22T19:18:59.000+01:00,2023-05-22T19:18:59.000+01:00
108,108,basic,108,36.0,2022-12-15T19:18:59.000Z,2022-12-15T19:18:59.000Z
109,109,premium,109,93.0,2023-04-18T19:18:59.000+01:00,2023-04-18T19:18:59.000+01:00
110,110,premium,110,24.0,2023-04-12T19:18:59.000+01:00,2023-04-12T19:18:59.000+01:00
111,111,sport,111,10.0,2023-07-07T19:18:59.000+01:00,2023-07-07T19:18:59.000+01:00
112,112,basic,112,17.0,2023-03-29T19:18:59.000+01:00,2023-03-29T19:18:59.000+01:00
113,113,sport,113,58.0,2023-05-11T19:18:59.000+01:00,2023-05-11T19:18:59.000+01:00
114,114,premium,114,57.0,2022-09-24T19:18:59.000+01:00,2022-09-24T19:18:59.000+01:00
115,115,premium,115,64.0,2023-05-17T19:18:59.000+01:00,2023-05-17T19:18:59.000+01:00
116,116,premium,116,54.0,2023-07-19T19:18:59.000+01:00,2023-07-19T19:18:59.000+01:00
117,117,sport,117,82.0,2023-05-30T19:18:59.000+01:00,2023-05-30T19:18:59.000+01:00
118,118,basic,118,80.0,2023-05-11T19:18:59.000+01:00,2023-05-11T19:18:59.000+01:00
119,119,sport,119,13.0,2022-11-08T19:18:59.000Z,2022-11-08T19:18:59.000Z
120,120,basic,120,93.0,2023-04-20T19:18:59.000+01:00,2023-04-20T19:18:59.000+01:00
121,121,sport,121,39.0,2023-02-25T19:18:59.000Z,2023-02-25T19:18:59.000Z
122,122,premium,122,93.0,2023-01-20T19:18:59.000Z,2023-01-20T19:18:59.000Z
123,123,premium,123,71.0,2022-10-08T19:18:59.000+01:00,2022-10-08T19:18:59.000+01:00
124,124,basic,124,60.0,2022-09-07T19:18:59.000+01:00,2022-09-07T19:18:59.000+01:00
125,125,premium,125,10.0,2023-01-26T19:18:59.000Z,2023-01-26T19:18:59.000Z
126,126,sport,126,27.0,2023-01-09T19:18:59.000Z,2023-01-09T19:18:59.000Z
127,127,premium,127,69.0,2023-02-11T19:18:59.000Z,2023-02-11T19:18:59.000Z
128,128,sport,128,22.0,2022-09-27T19:18:59.000+01:00,2022-09-27T19:18:59.000+01:00
129,129,premium,129,83.0,2023-07-14T19:18:59.000+01:00,2023-07-14T19:18:59.000+01:00
130,130,premium,130,59.0,2023-07-19T19:18:59.000+01:00,2023-07-19T19:18:59.000+01:00
131,131,basic,131,64.0,2023-06-27T19:18:59.000+01:00,2023-06-27T19:18:59.000+01:00
132,132,premium,132,63.0,2023-03-07T19:18:59.000Z,2023-03-07T19:18:59.000Z
133,133,premium,133,31.0,2022-10-17T19:18:59.000+01:00,2022-10-17T19:18:59.000+01:00
134,134,sport,134,46.0,2023-06-23T19:18:59.000+01:00,2023-06-23T19:18:59.000+01:00
135,135,premium,135,12.0,2023-07-30T19:18:59.000+01:00,2023-07-30T19:18:59.000+01:00
136,136,basic,136,39.0,2023-08-11T19:18:59.000+01:00,2023-08-11T19:18:59.000+01:00
137,137,premium,137,26.0,2023-05-18T19:18:59.000+01:00,2023-05-18T19:18:59.000+01:00
138,138,premium,138,22.0,2022-12-23T19:18:59.000Z,2022-12-23T19:18:59.000Z
139,139,sport,139,96.0,2022-10-28T19:18:59.000+01:00,2022-10-28T19:18:59.000+01:00
140,140,premium,140,64.0,2023-05-06T19:18:59.000+01:00,2023-05-06T19:18:59.000+01:00
141,141,sport,141,15.0,2022-12-12T19:18:59.000Z,2022-12-12T19:18:59.000Z
142,142,premium,142,51.0,2023-07-25T19:18:59.000+01:00,2023-07-25T19:18:59.000+01:00
143,143,sport,143,21.0,2023-06-27T19:18:59.000+01:00,2023-06-27T19:18:59.000+01:00
144,144,basic,144,91.0,2023-01-09T19:18:59.000Z,2023-01-09T19:18:59.000Z
145,145,basic,145,45.0,2022-11-27T19:18:59.000Z,2022-11-27T19:18:59.000Z
146,146,premium,146,81.0,2023-07-15T19:18:59.000+01:00,2023-07-15T19:18:59.000+01:00
147,147,sport,147,58.0,2022-12-06T19:18:59.000Z,2022-12-06T19:18:59.000Z
148,148,basic,148,70.0,2023-03-05T19:18:59.000Z,2023-03-05T19:18:59.000Z
149,149,basic,149,82.0,2023-04-09T19:18:59.000+01:00,2023-04-09T19:18:59.000+01:00
150,150,premium,150,95.0,2023-04-28T19:18:59.000+01:00,2023-04-28T19:18:59.000+01:00
151,151,sport,151,87.0,2022-10-28T19:18:59.000+01:00,2022-10-28T19:18:59.000+01:00
152,152,sport,152,67.0,2023-04-06T19:18:59.000+01:00,2023-04-06T19:18:59.000+01:00
153,153,basic,153,20.0,2022-09-19T19:18:59.000+01:00,2022-09-19T19:18:59.000+01:00
154,154,basic,154,60.0,2023-02-27T19:18:59.000Z,2023-02-27T19:18:59.000Z
155,155,premium,155,92.0,2022-11-30T19:18:59.000Z,2022-11-30T19:18:59.000Z
156,156,basic,156,71.0,2023-06-20T19:18:59.000+01:00,2023-06-20T19:18:59.000+01:00
157,157,basic,157,18.0,2023-07-19T19:18:59.000+01:00,2023-07-19T19:18:59.000+01:00
158,158,premium,158,98.0,2023-02-17T19:18:59.000Z,2023-02-17T19:18:59.000Z
159,159,premium,159,100.0,2022-09-12T19:18:59.000+01:00,2022-09-12T19:18:59.000+01:00
160,160,basic,160,10.0,2022-11-13T19:18:59.000Z,2022-11-13T19:18:59.000Z
161,161,sport,161,24.0,2022-11-11T19:18:59.000Z,2022-11-11T19:18:59.000Z
162,162,basic,162,61.0,2023-03-17T19:18:59.000Z,2023-03-17T19:18:59.000Z
163,163,basic,163,88.0,2022-11-04T19:18:59.000Z,2022-11-04T19:18:59.000Z
164,164,premium,164,12.0,2023-05-05T19:18:59.000+01:00,2023-05-05T19:18:59.000+01:00
165,165,sport,165,41.0,2023-01-08T19:18:59.000Z,2023-01-08T19:18:59.000Z
166,166,basic,166,70.0,2023-02-16T19:18:59.000Z,2023-02-16T19:18:59.000Z
167,167,premium,167,87.0,2023-02-20T19:18:59.000Z,2023-02-20T19:18:59.000Z
168,168,premium,168,43.0,2022-12-09T19:18:59.000Z,2022-12-09T19:18:59.000Z
169,169,sport,169,24.0,2022-09-13T19:18:59.000+01:00,2022-09-13T19:18:59.000+01:00
170,170,sport,170,64.0,2022-10-01T19:18:59.000+01:00,2022-10-01T19:18:59.000+01:00
171,171,sport,171,30.0,2023-08-25T19:18:59.000+01:00,2023-08-25T19:18:59.000+01:00
172,172,premium,172,70.0,2023-02-08T19:18:59.000Z,2023-02-08T19:18:59.000Z
173,173,basic,173,45.0,2022-12-16T19:18:59.000Z,2022-12-16T19:18:59.000Z
174,174,sport,174,24.0,2023-02-24T19:18:59.000Z,2023-02-24T19:18:59.000Z
175,175,premium,175,16.0,2023-02-14T19:18:59.000Z,2023-02-14T19:18:59.000Z
176,176,premium,176,93.0,2022-12-24T19:18:59.000Z,2022-12-24T19:18:59.000Z
177,177,premium,177,15.0,2023-08-19T19:18:59.000+01:00,2023-08-19T19:18:59.000+01:00
178,178,basic,178,48.0,2023-08-24T19:18:59.000+01:00,2023-08-24T19:18:59.000+01:00
179,179,basic,179,100.0,2023-08-21T19:18:59.000+01:00,2023-08-21T19:18:59.000+01:00
180,180,premium,180,81.0,2023-03-05T19:18:59.000Z,2023-03-05T19:18:59.000Z
181,181,sport,181,63.0,2023-05-17T19:18:59.000+01:00,2023-05-17T19:18:59.000+01:00
182,182,premium,182,12.0,2023-01-23T19:18:59.000Z,2023-01-23T19:18:59.000Z
183,183,premium,183,68.0,2022-12-12T19:18:59.000Z,2022-12-12T19:18:59.000Z
184,184,basic,184,83.0,2023-03-26T19:18:59.000+01:00,2023-03-26T19:18:59.000+01:00
185,185,basic,185,53.0,2023-05-19T19:18:59.000+01:00,2023-05-19T19:18:59.000+01:00
