user_id,city,price_plan_name,price_plan_type,subs_id,subs_start_timestamp,subs_end_timestamp,subs_cancel_timestamp,is_active
1,WRhEMgXR,basic,recurring,1,2022-10-30T19:18:59.000Z,2024-05-11T19:18:59.000+01:00,,true
2,XgvABOEY,sport,recurring,2,2022-11-01T19:18:59.000Z,2024-04-12T19:18:59.000+01:00,,true
3,ZipIoMct,sport,recurring,3,2023-02-28T19:18:59.000Z,2024-05-14T19:18:59.000+01:00,,true
4,QEDMlsuk,basic,recurring,4,2023-03-19T19:18:59.000Z,2024-04-07T19:18:59.000+01:00,,true
5,tcqsiRQU,premium,recurring,5,2023-05-08T19:18:59.000+01:00,2024-03-02T19:18:59.000Z,,true
6,vKmjDoNW,sport,recurring,6,2022-09-05T19:18:59.000+01:00,2024-03-29T19:18:59.000Z,,true
7,QVXzomQo,basic,recurring,7,2023-07-30T19:18:59.000+01:00,2023-11-19T19:18:59.000Z,,true
8,tLJBvORH,premium,recurring,8,2023-08-21T19:18:59.000+01:00,2024-06-26T19:18:59.000+01:00,,true
9,MPzXfEHu,premium,recurring,9,2023-08-22T19:18:59.000+01:00,2023-11-11T19:18:59.000Z,,true
10,IvUSjeWX,premium,recurring,10,2022-12-03T19:18:59.000Z,2024-01-27T19:18:59.000Z,,true
11,zXXRFyKq,premium,recurring,11,2023-04-15T19:18:59.000+01:00,2024-02-10T19:18:59.000Z,,true
12,YaydotbS,sport,recurring,12,2023-02-19T19:18:59.000Z,2024-02-05T19:18:59.000Z,,true
13,rpLmSODP,premium,recurring,13,2023-06-30T19:18:59.000+01:00,2024-07-25T19:18:59.000+01:00,,true
14,NdjxhbGm,sport,recurring,14,2023-02-02T19:18:59.000Z,2024-02-04T19:18:59.000Z,,true
15,DbmlAacI,premium,recurring,15,2023-07-30T19:18:59.000+01:00,2024-03-09T19:18:59.000Z,,true
16,WtlcxyYs,basic,recurring,16,2023-02-21T19:18:59.000Z,2024-01-04T19:18:59.000Z,,true
